id,jp_name,en_name,nicknames
1001,ヒヨリ,Hiyori,
1002,ユイ,Yui,
1003,レイ,Rei,
1004,ミソギ,Misogi,
1005,マツリ,Matsuri,
1006,アカリ,Akari,
1007,ミヤコ,Miyako,
1008,ユキ,Yuki,
1009,アンナ,Anna,
1010,マホ,Maho,
1011,リノ,Rino,
1012,ハツネ,Hatsune,
1013,ナナカ,Nanaka,
1014,カスミ,Kasumi,
1015,ミサト,Misato,
1016,スズナ,Suzuna,
1017,カオリ,Kaori,
1018,イオ,Io,
1020,ミミ,Mimi,
1021,クルミ,Kurumi,
1022,ヨリ,Yori,
1023,アヤネ,Ayane,
1025,スズメ,Suzume,
1026,リン,Rin,
1027,エリコ,Eriko,
1028,サレン,Saren,
1029,ノゾミ,Nozomi,
1030,ニノン,Ninon,
1031,シノブ,Shinobu,
1032,アキノ,Akino,
1033,マヒル,Mahiru,
1034,ユカリ,Yukari,
1036,キョウカ,Kyouka,
1037,トモ,Tomo,
1038,シオリ,Shiori,
1040,アオイ,Aoi,
1042,チカ,Chika,
1043,マコト,Makoto,
1044,イリヤ,Illya,Ilya
1045,クウカ,Kuuka,
1046,タマキ,Tamaki,
1047,ジュン,Jun,
1048,ミフユ,Mifuyu,
1049,シズル,Shizuru,
1050,ミサキ,Misaki,
1051,ミツキ,Mitsuki,
1052,リマ,Rima,
1053,モニカ,Monika,
1054,ツムギ,Tsumugi,
1055,アユミ,Ayumi,
1056,ルカ,Ruka,
1057,ジータ,Djeeta,
1058,ペコリーヌ,Pecorine,
1059,コッコロ,Kokkoro,
1060,キャル,Karyl,Kyaru
1061,ムイミ,Muimi,
1063,アリサ,Arisa,
1065,カヤ,Kaya,
1066,イノリ,Inori,
1067,ホマレ,Homare,
1068,ラビリスタ,Labyrista,
1069,マナ,Kaiser,
1070,ネネカ,Neneka,
1071,クリスティーナ,Christina,
1073,ラジクマール,Rajikumar,
1075,ペコリーヌ（サマー）,Pecorine (Summer),S-Pecorine
1076,コッコロ（サマー）,Kokkoro (Summer),S-Kokkoro
1077,スズメ（サマー）,Suzume (Summer),S-Suzume
1078,キャル（サマー）,Karyl (Summer),"S-Karyl,S-Kyaru"
1079,タマキ（サマー）,Tamaki (Summer),S-Tamaki
1080,ミフユ（サマー）,Mifuyu (Summer),S-Mifuyu
1081,シノブ（ハロウィン）,Shinobu (Halloween),H-Shinobu
1082,ミヤコ（ハロウィン）,Miyako (Halloween),H-Miyako
1083,ミサキ（ハロウィン）,Misaki (Halloween),H-Misaki
1084,チカ（クリスマス）,Chika (Christmas),X-Chika
1085,クルミ（クリスマス）,Kurumi (Christmas),X-Kurumi
1086,アヤネ（クリスマス）,Ayane (Christmas),X-Ayane
1087,ヒヨリ（ニューイヤー）,Hiyori (New Year),N-Hiyori
1088,ユイ（ニューイヤー）,Yui (New Year),"N-Yui,Nui"
1089,レイ（ニューイヤー）,Rei (New Year),N-Rei
1090,エリコ（バレンタイン）,Eriko (Valentine),V-Eriko
1091,シズル（バレンタイン）,Shizuru (Valentine),V-Shizuru
1092,アン,Anne,
1093,ルゥ,Lou,
1094,グレア,Grea,
1095,クウカ（オーエド）,Kuuka (Ooedo),O-Kuuka
1096,ニノン（オーエド）,Ninon (Ooedo),O-Ninon
1097,レム,Rem,
1098,ラム,Ram,
1099,エミリア,Emilia,
1100,スズナ（サマー）,Suzuna (Summer),S-Suzuna
1101,イオ（サマー）,Io (Summer),S-Io
1103,サレン（サマー）,Saren (Summer),S-Saren
1104,マコト（サマー）,Makoto (Summer),S-Makoto
1105,カオリ（サマー）,Kaori (Summer),S-Kaori
1106,マホ（サマー）,Maho (Summer),S-Maho
1107,アオイ（編入生）,Aoi (Transfer Student),TS-Aoi
1108,クロエ,Chloe,
1109,チエル,Chieru,
1110,ユニ,Yuni,
1111,キョウカ（ハロウィン）,Kyouka (Halloween),H-Kyouka
1112,ミソギ（ハロウィン）,Misogi (Halloween),H-Misogi
1113,ミミ（ハロウィン）,Mimi (Halloween),H-Mimi
1114,ルナ,Luna,
1115,クリスティーナ（クリスマス）,Christina (Christmas),Christina
1116,ノゾミ（クリスマス）,Nozomi (Christmas),X-Nozomi
1117,イリヤ（クリスマス）,Illya (Christmas),X-Illya
1118,ペコリーヌ（ニューイヤー）,Pecorine (New Year),N-Pecorine
1119,コッコロ（ニューイヤー）,Kokkoro (New Year),N-Kokkoro
1120,キャル（ニューイヤー）,Karyl (New Year),"N-Karyl,N-Kyaru,Nyaru"
1121,スズメ（ニューイヤー）,Suzume (New Year),N-Suzume
1122,カスミ（マジカル）,Kasumi (Magical),M-Kasumi
1123,シオリ（マジカル）,Shiori (Magical),M-Shiori
1124,ウヅキ（デレマス）,Shimamura Uzuki (IM@S),"Uzuki,D-Uzuki"
1125,リン（デレマス）,Shibuya Rin (IM@S),"D-Rin"
1126,ミオ（デレマス）,Honda Mio (IM@S),"Mio,D-Mio"
1127,リン（レンジャー）,Rin (Ranger),R-Rin
1128,マヒル（レンジャー）,Mahiru (Ranger),R-Mahiru
1129,リノ（ワンダー）,Rino (Wonderland),W-Rino
1130,アユミ（ワンダー）,Ayumi (Wonderland),W-Ayumi
1131,ルカ（サマー）,Ruka (Summer),S-Ruka
1132,アンナ（サマー）,Anna (Summer),S-Anna
1133,ナナカ（サマー）,Nanaka (Summer),S-Nanaka
1134,ハツネ（サマー）,Hatsune (Summer),S-Hatsune
1135,ミサト（サマー）,Misato (Summer),S-Misato
1136,ジュン（サマー）,Jun (Summer),S-Jun
1137,アカリ（エンジェル）,Akari (Angel),A-Akari
1138,ヨリ（エンジェル）,Yori (Angel),A-Yori
1139,ツムギ（ハロウィン）,Tsumugi (Halloween),H-Tsumugi
1140,レイ（ハロウィン）,Rei (Halloween),H-Rei
1141,マツリ（ハロウィン）,Matsuri (Halloween),H-Matsuri
1142,モニカ（マジカル）,Monika (Magical),M-Monika
1143,トモ（マジカル）,Tomo (Magical),M-Tomo
1144,アキノ（クリスマス）,Akino (Christmas),X-Akino
1145,サレン（クリスマス）,Saren (Christmas),X-Saren
1146,ユカリ（クリスマス）,Yukari (Christmas),X-Yukari
1147,ムイミ（ニューイヤー）,Muimi (New Year),N-Muimi
1150,ネネカ（ニューイヤー）,Neneka (New Year),N-Neneka
1155,コッコロ（儀装束）,Kokkoro (Costume),C-Kokkoro
1156,ユイ（儀装束）,Yui (Costume),C-Yui
1701,カンナ,Kanna,
1701,カンナ（ニューイヤー）,Kanna (New Year),N-Kanna
1801,ヒヨリ（プリンセス）,Hiyori (Princess),P-Hiyori
1802,ユイ（プリンセス）,Yui (Princess),P-Yui
1803,レイ（プリンセス）,Rei (Princess),P-Rei
1804,ペコリーヌ（プリンセス）,Pecorine (Princess),P-Pecorine
1805,コッコロ（プリンセス）,Kokkoro (Princess),P-Kokkoro
1806,キャル（プリンセス）,Karyl (Princess),"P-Karyl,P-Kyaru"
